Province,2019,2020,2021
安徽,1.123977899,1.205027305,1.205027305
北京,8.005827047,5.903805478,5.903805478
福建,3.827606412,3.71203009,3.71203009
甘肃,1.350371552,1.590486713,1.590486713
广东,11.32219812,11.59913155,11.59913155
广西,2.148372185,2.109526937,2.109526937
贵州,2.242406934,2.628683826,2.628683826
海南,3.33005827,3.789961956,3.789961956
河北,1.082694351,1.221243667,1.221243667
河南,2.409908644,2.806247149,2.806247149
黑龙江,1.856058028,1.919013859,1.919013859
湖北,2.612331204,2.072077643,2.072077643
湖南,2.486704922,2.749664881,2.749664881
吉林,1.219640315,1.21611043,1.21611043
江苏,4.323526888,4.576397145,4.576397145
江西,1.365538447,1.484905368,1.484905368
辽宁,3.108769573,2.61468409,2.61468409
内蒙古,2.037542874,1.965912975,1.965912975
宁夏,0.83011006,0.861567107,0.861567107
青海,0.601126937,0.78725184,0.78725184
山东,4.638554395,4.489015457,4.489015457
山西,1.507145457,1.515121465,1.515121465
陕西,3.779886182,3.915609589,3.915609589
上海,9.010689332,7.191431228,7.191431228
四川,4.967047146,5.823656988,5.823656988
天津,1.761801324,1.549887477,1.549887477
西藏,0.425412909,0.601288676,0.601288676
新疆,2.780720731,2.212424999,2.212424999
云南,5.217263922,5.814207166,5.814207166
浙江,5.19011148,5.829023553,5.829023553
重庆,3.43659646,4.244603393,4.244603393
